date,model,realised_r,VaR_95,ES_95,VaR_99,ES_99
2017-12-29,GARCH,0.005026504801247,0.009328593568464228,0.011830705752676366,0.01337598399875223,0.015622118802953267
2017-12-29,Heston,0.005026504801247,0.019563479647734337,0.02456578423153719,0.027484876147988467,0.03173247631546719
2017-12-29,Merton,0.005026504801247,0.0116226298355352,0.017303661200812216,0.021034279458256692,0.026874816031342716
2017-12-29,HistSim,0.005026504801247,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2018-01-02,GARCH,-0.008439512288536122,0.00874866799967486,0.011123063066230333,0.01250863991968429,0.014524806811044289
2018-01-02,Heston,-0.008439512288536122,0.020113808272345456,0.025597734025137805,0.029018773163639645,0.03323770570132394
2018-01-02,Merton,-0.008439512288536122,0.011472298485750083,0.017348452131722685,0.021734902719265484,0.027589684218987574
2018-01-02,HistSim,-0.008439512288536122,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2018-01-03,GARCH,9.576067320260506e-05,0.00929674618874275,0.011963679138909281,0.013627392765526896,0.015679136480975773
2018-01-03,Heston,9.576067320260506e-05,0.020192598953349263,0.025548652916741722,0.028841489754257744,0.03314251546661903
2018-01-03,Merton,9.576067320260506e-05,0.011526781800357818,0.017196391999857577,0.02101490202744052,0.026911207696529497
2018-01-03,HistSim,9.576067320260506e-05,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2018-01-04,GARCH,0.005881209368789442,0.009026190003558416,0.011556118542465584,0.013111487839738326,0.01514307448368324
2018-01-04,Heston,0.005881209368789442,0.02016792158781393,0.025314815443110997,0.029196692345653186,0.0334729537838221
2018-01-04,Merton,0.005881209368789442,0.012026791999107332,0.017793210720231996,0.022273597113431118,0.027710026284473117
2018-01-04,HistSim,0.005881209368789442,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2018-01-05,GARCH,0.005132056867763524,0.009045005139146458,0.011483891323161412,0.013323341720202966,0.015349673568887287
2018-01-05,Heston,0.005132056867763524,0.019871599585521597,0.025518035597786478,0.02921502680587868,0.033528715825457925
2018-01-05,Merton,0.005132056867763524,0.011660648317623923,0.017476067141867915,0.02161028113014799,0.027763595953242674
2018-01-05,HistSim,0.005132056867763524,0.012869580417317113,0.017609291420815295,0.020278169382724344,0.025742661890605235
2018-01-08,GARCH,0.006113570815584168,0.008815565029311115,0.011471063249727161,0.013209744703418992,0.015238456883994311
2018-01-08,Heston,0.006113570815584168,0.020316121523211977,0.02554901923008253,0.02866606758263098,0.033460494759441496
2018-01-08,Merton,0.006113570815584168,0.012256836047251574,0.018364512232683247,0.02256240817368951,0.028404950957693475
